keys,en,sw,kam,kik,miji,luo,bor
new_pin_confirmation,"CON Enter your new four number PIN again
0. Back","CON Weka nambari yako ya siri tena
0. Rudi","CON Ikia namba yaku ya siri ingi
0. Itina","CON Ikira namba yaku ya thiri renge
0. Thutha","CON Uyira kuika lwaphiri
0. Uya Nyuma","CON Ket PIN ni kendo
0. Chien","CON Pin hareti ta namba afuuri itdheebi
0. Dheebi"
reset_guarded_pin,"CON Enter phone number you are the guardian of reset their pin
0. Back","CON Weka nambari ya simu ili kutuma ombi la kubalisha nambari ya siri.
0. Rudi","CON Ikia namba yaku ya simu ta mutethesya wa kusovya pin
0. Itina","CON Ikira namba ya thimu gutuma ihoya ria gucejia namba ya thiri
0. Thutha","CON Ika namba ya simu muimirizi wako kugaluza piniyo
0. Uya Nyuma","CON Ket namba simu ma irito PIN ne
0. Chien","CON Namba ta atin korkorad kekeyaad ta pin badilifaad
0.Dheebi"
reset_guarded_pin_authorization.first,"CON Enter YOUR pin to confirm %{guarded_account_information}'s pin reset
0. Back","CON Weka nambari YAKO ya siri ili kudhibitisha ombi la kubadilisha nambari ya siri ya %{guarded_account_information}
0. Rudi","CON Ikia pin YAKU kwikiithya %{guarded_account_information} kusovwa kwa pin
0. Itina","CON Ikira PIN yaku  %{guarded_account_information} cejia
0. Thutha","CON Injiza piniyo uhakikishe %{guarded_account_information} unampaluzira
0. Uya nyuma","CON Ket PIN manyiso loko PIN mar %{guarded_account_information}
0. Chien","CON Pin kake kekhai %{guarded_account_information} badilifaad
0.Dheebi"
reset_guarded_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
exit_pin_reset_initiated_success,"CON Success: You have initiated a PIN reset for %{guarded_account_information}
0. Back
9. Exit","CON Ombi lako la kubadili PIN ya %{guarded_account_information} limetumwa.
0. Rudi
9. Ondoka","CON Niwetikilwa: Niwambiisya kusovwa kwa PIN ya %{guarded_account_information}
0. Itina
9. Uma","CON Kugaacira: Niwetikeria ucejanio wa PIN ya  %{guarded_account_information}
0. Thutha
9. Uma","CON Uweza: Umuhumira pini agaluze %{guarded_account_information}
0. Uya nyuma
9. Ombola","CON Kwayo mari mar loko namba mopondo mar %{guarded_account_information} oseor
0. Chien
9. Wuok","CON.Yadandeeth:Yaa pin badilifadu ergan%{guarded_account_information}
0.Dheebi
9.Bai"
exit_not_authorized_for_pin_reset,"CON Failure: You are not authorized to reset that PIN. You must be a guardian!
0. Back
9. Exit","CON Huruhusiwi kutuma ombi la kubadilisha PIN
0. Rudi
9. Ondoka","CON Ndwitikilitwe kusovya PIN. Ni lasima withiwe wi mutethesya!
0. Itina
9. Uma","CON Kugua: Nduitikiritio kucejia PIN iyo. Ni muhaka utuike mugiteri !
0. Thutha
9. Uma","CON Kuwezere: Kuruhusiwa kugaluza yo pini. Ni lazima ukale mwimirizi.
0. Uya nyuma
9. Ombola.","CON Otamore: Okoyieni oro kwayo mar loko PIN ni. Nyaka ibed jarit
0. Chien
9. Wuok","Dasanitt Pin badilifaadu indandeth. Lazima atin korkorada taat
0.Dheebi
9.Bai"
guard_pin,"CON PIN guardians
1. View
2. Add
3. Remove
0. Back","CON Walinzi wa PIN
1. Ona
2. Ongeza
3. Ondoa
0. Rudi","CON Atetheesya ma PIN
1. Sisya
2. Ongela
3. Umya
0. Itina","CON Agiteri PIN
1. Rora
2. Ikira
3. Eheria
0. Thutha","CON Kinjira PIN
1. Lola
2. Ika
3. Usa
0. Uya nyuma","CON Arita PIN
1. Ng'i
2. Med
3. Gol
0. Chien","CON PIN korkorad
1. laaalad
2. Darad
3.Baas
0.Dheebi"
guardian_list_pin_authorization.first,"CON Enter your pin to view set guardians
0. Back","CON Weka nambari yako ya siri ili kuona walinzi uliowaongeza
0. Rudi","CON Ikia pin yaku kuisya atetheesya ala wandikithitye
0. Itina","CON Ikira PIN kurora agiteri aku
0. Thutha","CON Injiza piniyo kulolera mwimirizi
0. Uya nyuma","CON Ket PIN ine jorit miketo
0. Chien","CON pin kake kekhai nam at korkorad lalaad
0.Dheebi"
guardian_list_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
guardian_list,"CON %{guardians_list}
0. Back
9. Exit","CON %{guardians_list}
0. Rudi
9. Ondoka","CON %{guardians_list}
0. Itina
9. Uma","CON %{guardians_list}
0. Thutha
9. Uma","CON %{guardians_list}
0. Uya nyuma
9. Ombola","CON %{guardians_list}
0. Chien
9. Wuok","CON %{guardians_list}
0.Dheebi
9.Bai"
add_guardian,"CON Enter phone number to add as pin reset guardian
0. Back","CON Weka nambari ya simu ili kuongeza mlinzi
0. Rudi","CON Ikia namba ya simu kwongela mutethesya wa kusovya pin
0. Itina","CON Ikera namba ya thimu kuongerera mugiteri wa gucenjia  PIN
0. Back","CON Injiza namba ya simu ikale namba ya mwimirizi
0. Uya nyuma","CON Ket namba simu mondo imed jarit namba ni mopondo
0. Chien","CON number kekhai ta nam atin Korkorad ta pin badilifaad feet
0.Bai"
add_guardian_pin_authorization.first,"CON Enter your pin to add %{guardian_information} as your PIN reset guardian
0. Back","CON Weka nambari YAKO ya siri ili kumwongeza %{guardian_information} kama mlinzi
0. Rudi","CON Ikia pin yaku kwongela %{guardian_information} ta mutetheesya
0. Itina","CON Ikera pin yaku kuogerera %{guardian_information}  ta mugiteri wa gucenjia pin yaku
0. Thutha","CON Injiza piniyo kuika %{guardian_information} akale mwimirizi wa piniyo
0. Uya nyuma","CON Ket PIN mondo imed %{guardian_information} kaka jarit namba mar loko PIN ni
0. Back","pin kekhai dhuumi darad %{guardian_information}  ta nam si korkorad.
0.Dheebi"
add_guardian_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
exit_guardian_addition_success,"CON Success: %{guardian_information} can now reset your PIN
0. Back
9. Exit","CON Ombi lako la kumwongeza: %{guardian_information} kama mlinzi limefanikiwa
0. Rudi
9. Ondoka","CON Niwetikilwa kwandikithya %{guardian_information} ta mutetheesya wa kusovya PIN
0. Itina
9. Uma","CON Niwahota: %{guardian_information} No acenjie PIN yaku
0. Thutha
9. Uma","CON Uweza: %{guardian_information} vivi unadima kugaluza pini.
0. Uya nyuma
9. Ombola","CON Kwayoni mar medo: %{guardian_information} kaka jarit PIN mari ni kare
0. Chien
9. Wuok","Ya dandeeth.%guardian_information.Pin tate badlifaad dandeeth.
0.Dheebi.
9.Bai"
exit_invalid_guardian_addition,"CON %{error_exit}
0. Back
9. Exit","CON %{error_exit}
0. Rudi
9. Ondoka","CON %{error_exit}
0. Itina
9. Uma","CON %{error_exit}
0. Thutha
9. Uma","CON %{error_exit}
0. Uya nyuma
9. Ombola","CON %{error_exit}
0. Chien
9. Wuok","CON %{error_exit}. 
0.Dheebi
9.Bai"
remove_guardian,"CON Enter phone number to revoke guardianship:
0. Back","CON Weka nambari ya simu ili kuondoa mlinzi
0. Rudi","CON Ikia namba ya simu kumya mutetheesya:
0. Itina","CON Ikera namba ya thimu kuruta mugiteri:
0. Thutha","CON Ika namba ya simu kumuomboza Mwimirizi:
0. Uya nyuma","CON Ket namba mar simu mondo igol jarit:
0. Chien","CON Namba simu keyaadi ta korkorad irabasu feet.
00.Dheebi"
remove_guardian_pin_authorization.first,"CON Enter your pin to remove %{guardian_information} as your PIN reset guardian
0. Back","CON Weka PIN yako ili kumwondoa %{guardian_information} kama mlinzi ya PIN yako
0. Rudi","CON Ikia pin yaku kumya %{guardian_information} ta mutetheesya wa kusovya PIN 
0. Itina","CON Ekera pin yaku kuruta %{guardian_information} ta mugiteri wa gucenjia pin yaku
0. Thutha","CON Injiza piniyo kumuomboza %{guardian_information} dza mwimirizi wa piniyo.
0. Uya nyuma","CON Ket PIN mondo igol %{guardian_information} kaka jarit
0. Chien","Pin simu keyaadi.
 0.Dheebi"
remove_guardian_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
exit_guardian_removal_success,"CON Success: %{guardian_information} PIN reset guardianship is revoked
0. Back
9. Exit","CON Ombi lako la kumwondoa: %{guardian_information} kama mlinzi limefanikiwa
0. Rudi
9. Ondoka","CON Niwetikilwa: %{guardian_information} niwaumwa ta mutetheesya waku wa kusovya PIN
0. Itina
9. Uma","CON Niwahota: %{guardian_information} Ugiteri wa gucenjia PIN niwarutwo
0. Thutha
9. Uma","CON Uweza: %{guardian_information} Mwimirizi wa piniyo umomboza.
0. Uya nyuma
9. Ombola","CON Kwayo mari mar golo %{guardian_information} kaka jarit odhikare
0. Chien
9. Wuok","CON yadandeeth. %{guardian_information} simu ta korkorad ya irabasan.
0. Dheebi
9.Bai"
exit_invalid_guardian_removal,"CON %{error_exit}
0. Back
9. Exit","CON %{error_exit}
0. Rudi
9. Ondoka","CON %{error_exit}
0. Itina
9. Uma","CON %{error_exit}
0. Thutha
9. Uma","CON %{error_exit}
0. Uya nyuma
9. Ombola","CON %{error_exit}
0. Chien
9. Wuok","CON %{error_exit}. 
0.Dheebi
9.Bai"
transaction_pin_authorization.first,"CON %{recipient_information} will receive %{transaction_amount} %{token_symbol} from %{sender_information}.
Please enter your PIN to confirm.
0. Back","CON %{recipient_information} atapokea %{transaction_amount} %{token_symbol} kutoka kwa %{sender_information}
Tafadhali weka PIN yako kudhibitisha
0. Rudi","CON %{recipient_information} nukwata %{transaction_amount} %{token_symbol} kuma kwa %{sender_information}
Ikia PIN yaku kuvitukithya
0. Itina","CON %{recipient_information} akuamukira %{transaction_amount} %{token_symbol} kuuma kwa %{sender_information}
Ekera PIN yaku kuetekeria
0. Thutha","CON %{recipient_information} yundahokera %{transaction_amount} %{token_symbol} kulaa kwa %{sender_information}.
ika PIN kala usawa
0. Uya nyuma.","CON %{recipient_information} dhiyudo %{transaction_amount} %{token_symbol} kowuok kuom %{sender_information}.
Kiyie to ket PIN mondo iyie:
0. Chien","CON %{recipient_information} in argad%{transaction_amount} %{token_symbol} ir %{sender_information}.
PIN kekhai:
0. Dheebi"
transaction_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
display_metadata_pin_authorization.first,"CON Please enter your PIN
0. Back","CON Tafadhali weka PIN yako
0. Rudi","CON Tafathali ikia PIN yaku
0. Itina","CON Ikera PIN yaku
0. Thutha","CON Unavoywa kuika piniyo.
0. Uya Nyuma","CON Kiyie to ket PIN ni
0. Chien","CON Pin kekhai
0. Dheebi"
display_metadata_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
account_balances_pin_authorization.first,"CON Please enter your PIN to view balances
0. Back","CON Tafadhali weka PIN yako kuona salio.
0. Rudi","CON Kuisya mbalansi ikia PIN yaku .
0. Itina","CON Ikera pin yaku kuona matigari maku
0. Thutha","CON Unavoywa piniyo kulola Sazoro.
0. Uya nyuma","CON  Kiyie to ket PIN mondo ine modong'
0. Chien","CON Pinkekhai  ak balansi kake lalt
0. Dheebi"
account_balances_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
account_statement_pin_authorization.first,"CON Please enter your PIN to view statement
0. Back","CON Tafadhali weka PIN yako kuona taarifa ya matumizi.
0. Rudi","CON Ikia PIN yaku kwona welesyo wa utumii.
0. Itina","CON Ikera PIN yaku kuona rugano rwa mahuthira maku
0. Thutha","CON Unavoywa piniyo kupata maerezo mahumizi Gako.
0. Uya Nyuma","CON Kiyie to ket PIN mondo ine chenro.
0. Chien","CON Tafadhali pin kake kekhai odhuu jalkaba lalaad.
0. Dheebi"
account_statement_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
name_edit_pin_authorization.first,"CON Please enter your PIN
0. Back","CON Tafadhali weka PIN yako
0. Rudi","CON Tafathali ikia PIN yaku
0. Itina","CON Ikera pin yaku
0. Thutha","CON Unavoywa piniyo
0. Uya Nyuma","CON Ket PIN
0. Chien","CON Pin kekhai
0. Dheebi"
name_edit_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
dob_edit_pin_authorization.first,"CON Please enter your PIN
0. Back","CON Tafadhali weka PIN yako
0. Rudi","CON Tafathali ikia PIN yaku
0. Itina","CON Ikera PIN yaku
0. Thutha","CON Unavoywa piniyo
0. Uya nyuma","CON Kiyie to ket PIN
0. Chien","CON pin kekhai
0. Dheebi"
dob_edit_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
gender_edit_pin_authorization.first,"CON Please enter your PIN
0. Back","CON Tafadhali weka PIN yako
0. Rudi","CON Tafathali ikia PIN yaku
0. Itina","CON Ikera PIN yaku
0. Thutha",CON Unavoywa piniyo 0. Uya nyuma,"CON Kiyie to ket PIN
0. Chien","CON pin kekhai
0. Dheebi"
gender_edit_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
location_edit_pin_authorization.first,"CON Please enter your PIN
0. Back","CON Tafadhali weka PIN yako
0. Rudi","CON Tafathali ikia PIN yaku
0. Itina","CON Ikera PIN yaku
0. Thutha","CON Unavoywa piniyo
0. Uya nyuma","CON Kiyie to ket PIN
0. Chien","CON Pin kekhai
0. Dheebi"
location_edit_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
products_edit_pin_authorization.first,"CON Please enter your PIN
0. Back","CON Tafadhali weka PIN yako
0. Rudi","CON Tafathali ikia PIN yaku
0. Itina","CON Ikera PIN yaku
0. Thutha","CON Unavoywa piniyo
0. Uya nyuma","CON Kiyie to ket PIN
0. Chien","CON Pin kekhai
0. Dheebi"
products_edit_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
account_balances.available_balance,"CON Your balances are as follows:
  %{available_balance} %{token_symbol}
0. Back","CON Salio zako ni zifuatazo:
  %{available_balance} %{token_symbol}
0. Rudi","CON Mbalansi syaku nisyo ii:
  %{available_balance} %{token_symbol}
0. Itina","CON Matigari maku ni maya:
 matigari: %{available_balance} %{token_symbol}
0. Thutha","CON Masazogo nidzavivyo gatuwiravyo:
 Sazo: %{available_balance} %{token_symbol}
0. Uya Nyuma","CON Dong mari en kama: %{available_balance} %{token_symbol}
0. Dog chien","CON Balansi kake akan
 salio: %{available_balance} %{token_symbol}
0. Dheebi"
account_balances.with_fees,"CON Your balances are as follows:
balances: %{available_balance} %{token_symbol}
fees: %{tax} %{token_symbol}
0. Back","CON Salio zako ni zifuatazo:
  salio: %{available_balance} %{token_symbol}
  ushuru: %{tax} %{token_symbol}
0. Rudi","CON Mbalansi syaku nisyo ii:
 mbalansi: %{available_balance} %{token_symbol}
 yelo: %{tax} %{token_symbol}
0. Itina","CON Matigari maku ni maya:
 matigari: %{available_balance} %{token_symbol}
 ushuru: %{tax} %{token_symbol}
0. Thutha","CON Masazogo ni gatuwirago:
 Masazo: %{available_balance} %{token_symbol}
 Ushuuru: %{tax} %{token_symbol}
0. Uya nyuma","CON Dong mari en:
 Dong: %{available_balance} %{token_symbol}
 osuru: %{tax} %{token_symbol}
0. Chien","CON Balansi kake akan
 salio: %{available_balance} %{token_symbol}
 ushuru: %{tax} %{token_symbol}
0. Dheebi"
account_balances.with_rewards,"CON Your balances are as follows:
balance: %{available_balance} %{token_symbol}
fees: %{tax} %{token_symbol}
rewards: %{bonus} %{token_symbol}
0. Back","CON Salio zako ni zifuatazo:
  salio: %{available_balance} %{token_symbol}
  ushuru: %{tax} %{token_symbol}
  tuzo: %{bonus} %{token_symbol}
0. Rudi","CON  Mbalansi syaku nisyo ii:
 mbalansi: %{available_balance} %{token_symbol}
 yelo: %{tax} %{token_symbol}
 muthinzio: %{bonus} %{token_symbol}
0. Itina","CON Matigari maku ni:
 Matigari: %{available_balance} %{token_symbol}
 ushuru: %{tax} %{token_symbol}
 tuzo: %{bonus} %{token_symbol}
0. Thutha","CON Sazoro ni rituwiraro:
 Sazo: %{available_balance} %{token_symbol}
 Ushuuru: %{tax} %{token_symbol}
 Zawadi: %{bonus} %{token_symbol}
0. Uya Nyuma","CON Dong mari en kama:
 Dong: %{available_balance} %{token_symbol}
 osuru: %{tax} %{token_symbol}
 mich: %{bonus} %{token_symbol}
0. Chien","CON Balansi kake akan
 salio: %{available_balance} %{token_symbol}
 ushuru: %{tax} %{token_symbol}
 tuzo: %{bonus} %{token_symbol}
0. Dheebi"
first_transaction_set,"CON %{first_transaction_set}
0. Back
11. Next
00. Exit","CON %{first_transaction_set}
0. Rudi
11. Mbele
00. Ondoka","CON %{first_transaction_set}
0. Itina
11. Mbee
00. Uma","CON %{first_transaction_set}
0. Thutha
11. Mbere
00. uma","CON %{first_transaction_set}
0. Uma nyuma
11. Mbere
00. Ombola","CON %{first_transaction_set}
0. Chien
11. Nyime
00. Wuok","CON %{first_transaction_set}
0. Dheebi
11. Dhuur
00. Bai"
middle_transaction_set,"CON %{middle_transaction_set}
11. Next
22. Previous
00. Exit","CON %{middle_transaction_set}
11. Mbele
22. Rudi
00. Ondoka","CON %{middle_transaction_set}
11. Mbee
22. Itina
00. Uma","CON %{middle_transaction_set}
1. Mbere
2. Thutha
00. Uma","CON %{middle_transaction_set}
11. Mbere
22. Uya nyuma
00. Ombola","CON %{middle_transaction_set}
11. Nyime
22. Mokalo
00. Wuok","CON %{middle_transaction_set}
11. Dhuur
22. Waan dhabran
00. Bai"
last_transaction_set,"CON %{last_transaction_set}
22. Previous
00. Exit","CON %{last_transaction_set}
22. Rudi
00. Ondoka","CON %{last_transaction_set}
22. Itina
00. Uma","CON %{last_transaction_set}
22. Thutha
00. Uma","CON %{last_transaction_set}
22. Uya Nyuma
00.Ombola","CON %{last_transaction_set}
22. Mokalo
00. Wuok","CON %{last_transaction_set}
22. Waan dharban
00. Bai"
exit,END Thank you for using the service.,END Asante kwa kutumia huduma,END Ni muvea kwa kutumia huduma ii,END  Thegio ni kuhuthira mutabo,END. Namvera kwa mahumizi ga ii huduma.,END Erokamano kuom tiyo gi huduma ni,END Galatom.
exit_invalid_request,END Invalid request.,END Chaguo si sahihi,END Usakuo waku uyaile.,END shaguro riaku ti riega,END. Tsagulo karisawa sawa,END Yiero okni kare,END Ka at chaquad suninit
exit_invalid_menu_option,"CON Invalid menu option. For help,call %{support_phone}.
00. Back
99. Exit","CON Chaguo lako sio sahihi. Kwa usaidizi piga simu %{support_phone}
00. Rudi
99. Ondoka","CON Usakuo waku uyaile. Kwa utethyo kuna %{support_phone}
00. Itina
99. Uma","CON Shaguro riaku ti riega.Kwa uteithio hura %{support_phone}
00. Thutha
99. Uma","CON Tsaguloro karisawa sawa. Kuavizwa piga %{support_phone}
00. Uya Nyuma
99. Ombola","CON Yiero ni oknikare. Kuom kony go simu e %{support_phone}
00. Chien
99. Wuok","CON Ka at chaguad suninit.qarqarsa simu dai%{support_phone}
00. Dheebi
99. Bai"
